trip_id,rider_id,distance_km,duration_min,fare_amount,ride_date,surge_flag,fare_zscore,distance_km_zscore,hour_x,day_of_week_x,month_x,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,fare_log,distance_km_log,duration_min_sqrt,fare_amount_standard,distance_km_standard,duration_min_standard,fare_amount_minmax,distance_km_minmax,duration_min_minmax,is_peak_hour,fare_per_km,surge_flag_new,zone_name,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,hour_y,day_of_week_y,month_y,gender_encoded,ride_frequency,total_distance,avg_ride_distance,total_fare,avg_ride_fare,days_since_signup,ride_cancellation_rate,population_density,traffic_index,avg_speed_kmph,zone_type
T00001,R0037,11.83,74.59,104.88,2023-11-13,0,-0.34760426094113706,0.8051118769089531,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.662306377358901,2.551786178627545,8.636550237218563,-0.34851559312789665,0.8051118769089531,0.3532394314046236,0.26998086938038046,0.4570433436532508,0.3703703703703704,0,8.865595942519018,0,Zone_10,Aadhya Iyer,32,Other,Ahmedabad,2020-11-21,489,6,3.36,0,5,11,2,High,78.09,0.15969325153374234,1314.66,2.6884662576687117,2108,0.012269938650306749,2440,1.54,35.4,Industrial
T00002,R0104,3.86,35.59,40.48,2023-07-28,0,-1.1008152956137889,-0.985983272107777,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7252113833613265,1.5810384379124023,5.965735495309862,-1.1133607542143409,-0.985983272107777,-0.7309489956068974,0.09886810500584546,0.14860681114551083,0.1762246117084827,0,10.487046632124352,0,Zone_9,Diya Gupta,52,Male,Kolkata,2021-05-27,328,1,3.7,0,3,5,1,High,46.690000000000005,0.14234756097560977,765.39,2.3335060975609756,1921,0.003048780487804878,11037,1.83,56.1,Mixed
T00003,R0045,4.7,31.03,46.39,2024-01-14,0,-1.0316929786119973,-0.7972103831273435,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.858411235979497,1.7404661748405046,5.570457790882182,-1.043170771263706,-0.7972103831273435,-0.8577156424574752,0.11457115527686258,0.18111455108359134,0.15352449223416964,0,9.870212765957447,0,Zone_8,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,0,2,7,2,Low,87.53,0.8753,1529.85,15.298499999999999,1145,0.16,4516,1.93,31.0,Business
T00004,R0089,11.06,59.48,257.64,2023-12-13,0,1.439049739937656,0.6320700620102228,0,2,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.555437133417177,2.4898941912990393,7.712327793863536,1.46573513369765,0.6320700620102228,-0.06681408480419919,0.6758688489743861,0.4272445820433437,0.29515133412982875,0,23.294755877034355,0,Zone_2,Saanvi Reddy,48,Other,Surat,2022-09-21,308,6,3.91,0,2,9,2,Medium,89.83,0.29165584415584417,1415.55,4.595941558441559,1439,0.01948051948051948,6371,0.91,58.4,Residential
T00005,R0003,7.28,67.59,72.74,2023-03-15,0,-0.7235080288662773,-0.21740793840172704,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.300545392805998,2.1138429683971687,8.221313763626833,-0.7302255850117214,-0.21740793840172704,0.15864150860768395,0.18458390902327557,0.28095975232198145,0.3355236957387495,0,9.991758241758241,0,Zone_5,Kavya Reddy,34,Male,Pune,2023-05-04,45,9,3.76,0,3,5,1,Low,67.68,1.5040000000000002,971.71,21.593555555555557,1214,0.2,2590,1.31,43.9,Business
T00006,R0255,14.58,80.74,282.52,2024-02-10,0,1.7300418291093265,1.4231183586901335,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.647282667416716,2.7459880404426023,8.985543945694106,1.7612218977944005,1.4231183586901335,0.5242076064333632,0.7419757678818152,0.563467492260062,0.40098566308243727,0,19.377229080932782,0,Zone_2,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,0,1,7,0,High,72.02,0.15162105263157893,1262.22,2.6573052631578946,1881,0.08842105263157894,6371,0.91,58.4,Residential
T00007,R0224,4.48,40.07,58.38,2023-08-21,0,-0.8914600546100548,-0.8466509016698379,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.083957469335614,1.7011051009599243,6.330086887239385,-0.9007718041608106,-0.8466509016698379,-0.6064063250168561,0.14642895100435752,0.17260061919504646,0.19852648347272003,0,13.03125,0,Zone_4,Ishaan Sharma,29,Female,Ahmedabad,2020-08-04,200,1,4.31,0,1,8,0,Medium,41.71,0.20855,514.14,2.5707,2217,0.005,4038,2.46,48.2,Business
T00008,R0039,11.75,96.11,102.35,2024-03-10,0,-0.3771946944461341,0.7871335065298642,0,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.638121286127777,2.545531271604435,9.803570778037969,-0.3785630815991498,0.7871335065298642,0.9514890454889294,0.2632585822085237,0.45394736842105265,0.47749900438072485,0,8.71063829787234,0,Zone_3,Aadhya Iyer,24,Male,Chennai,2023-11-18,190,14,4.2,0,5,11,1,Medium,33.86,0.17821052631578946,508.06,2.674,1016,0.07368421052631578,12971,2.11,38.0,Business
T00009,R0223,9.71,66.61,175.75,2024-05-20,0,0.4812787519043728,0.3286850618630979,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.174736304776682,2.3711778844596574,8.161494961096281,0.4931703783968907,0.3286850618630979,0.1313977994161123,0.45828462110745033,0.37500000000000006,0.33064516129032256,0,18.099897013388258,0,Zone_5,Meera Ghosh,30,Female,Surat,2019-11-29,158,10,4.04,0,4,11,0,Low,56.4,0.3569620253164557,987.21,6.248164556962026,2466,0.06329113924050633,2590,1.31,43.9,Business
T00010,R0236,7.37,51.09,98.34,2023-03-01,0,-0.4240949467603783,-0.19718227172525207,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.598548309679204,2.124653884501384,7.147726911403373,-0.4261877570022032,-0.19718227172525207,-0.30005359512795954,0.252603889892656,0.28444272445820434,0.2533851055356432,0,13.343283582089553,0,Zone_5,Arjun Gupta,28,Male,Ahmedabad,2020-08-10,61,1,3.36,0,0,8,1,Low,50.01,0.8198360655737704,768.54,12.599016393442623,2211,0.01639344262295082,2590,1.31,43.9,Business
T00011,R0191,13.88,88.3,172.04,2023-09-09,0,0.4378872466460569,1.265807617873106,0,5,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.153522781644804,2.700018029404946,9.396807968666806,0.4491086462908237,1.265807617873106,0.7343733630540581,0.4484270379423955,0.5363777089783283,0.43862007168458783,0,12.394812680115272,0,Zone_10,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,0,4,8,2,Low,83.17,0.9559770114942528,1326.52,15.24735632183908,2207,0.06896551724137931,2440,1.54,35.4,Industrial
T00012,R0199,11.4,64.9,139.35,2023-12-15,0,0.05555077578504781,0.7084781361213505,0,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.9441393028078915,2.517696472610991,8.056053624449133,0.06086659169585694,0.7084781361213505,0.08386030684714577,0.36156871080880004,0.4404024767801858,0.3221326164874552,0,12.223684210526315,0,Zone_1,Aarav Das,29,Male,Ahmedabad,2021-08-03,344,27,3.91,0,1,8,1,High,85.15,0.24752906976744188,1600.5,4.652616279069767,1853,0.07848837209302326,4921,2.43,30.9,Residential
T00013,R0248,2.98,18.82,37.95,2023-12-12,0,-1.1304057291187857,-1.1837453462777545,0,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.6622787723167574,1.3812818192963463,4.338202392696772,-1.143408242685594,-1.1837453462777545,-1.1971500192218514,0.09214581783398874,0.11455108359133129,0.09274193548387097,0,12.734899328859061,0,Zone_6,Vivaan Ghosh,18,Female,Chennai,2021-10-24,104,12,3.65,0,6,10,0,Low,57.72,0.5549999999999999,939.6600000000001,9.03519230769231,1771,0.11538461538461539,14627,0.54,37.6,Mixed
T00014,R0300,11.2,70.93,249.44,2024-08-10,0,1.3431439870756106,0.6635322101736281,0,5,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.52321937087711,2.501435951739211,8.421995013059554,1.3683480169133515,0.6635322101736281,0.25149251748508095,0.6540811988521628,0.4326625386996904,0.3521505376344086,0,22.271428571428572,0,Zone_2,Saanvi Iyer,38,Female,Kolkata,2023-07-08,291,7,3.67,0,5,7,0,Medium,54.879999999999995,0.1885910652920962,996.77,3.4253264604810996,1149,0.024054982817869417,6371,0.91,58.4,Residential
T00015,R0270,14.87,91.83,265.53,2023-08-24,0,1.5313297875085754,1.4882899513143306,0,3,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.585486807626805,2.7644305345383176,9.582797086446107,1.559440542408396,1.4882899513143306,0.8325063155502291,0.6968328196407694,0.5746904024767802,0.45619275189167663,0,17.856758574310692,0,Zone_10,Aadhya Reddy,35,Male,Hyderabad,2022-01-02,455,64,3.08,0,6,1,1,High,59.04,0.12975824175824174,1101.53,2.420945054945055,1701,0.14065934065934066,2440,1.54,35.4,Industrial
T00016,R0216,7.35,63.51,145.73,2024-08-04,0,0.13017012984112722,-0.2016768643200244,0,6,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.988594163219376,2.122261538862764,7.969316156358712,0.136638519145104,-0.2016768643200244,0.045218719320324674,0.3785205654160909,0.2836687306501548,0.3152130625248905,0,19.82721088435374,0,Zone_2,Ishaan Ghosh,44,Female,Chennai,2019-08-01,335,24,3.4,0,3,8,0,High,29.64,0.0884776119402985,498.88,1.4891940298507462,2586,0.07164179104477612,6371,0.91,58.4,Residential
T00017,R0168,6.76,56.32,83.57,2023-12-03,0,-0.5968422601472584,-0.33426734586580487,0,6,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.437579593794131,2.048982334195127,7.504665215717488,-0.6016033319905073,-0.33426734586580487,-0.154661147095389,0.21335954936762672,0.2608359133126935,0.2794205495818399,0,12.362426035502958,0,Zone_3,Diya Das,23,Male,Pune,2019-10-08,471,74,4.03,0,1,10,1,High,35.019999999999996,0.0743524416135881,569.31,1.2087261146496815,2518,0.15711252653927812,12971,2.11,38.0,Business
T00018,R0126,4.65,39.61,69.81,2024-01-19,0,-0.7577767917791789,-0.8084468646142741,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.260000233663683,1.7316555451583497,6.293647591023825,-0.7650236645456233,-0.8084468646142741,-0.6191941885149407,0.1767988096503348,0.1791795665634675,0.19623655913978494,0,15.01290322580645,0,Zone_6,Diya Reddy,29,Female,Surat,2022-09-25,411,20,3.65,0,6,9,0,High,35.7,0.08686131386861315,414.91999999999996,1.009537712895377,1435,0.04866180048661801,14627,0.54,37.6,Mixed
